,Argument ID,Conclusion,Stance,Premise,text,category,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
4568,A30388,We should adopt an austerity regime,against,we should not support the austerity regime because it takes away from programs that are most needed such as feeding children.,we should not support the austerity regime because it takes away from programs that are most needed such as feeding children. against We should adopt an austerity regime,"['Security: personal', 'Benevolence: caring', 'Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
1142,A19198,We should legalize cannabis,in favor of,in many cases cannabis has wonderful health results such as taking away pain from ill people.  it should be legal for all.,in many cases cannabis has wonderful health results such as taking away pain from ill people.  it should be legal for all. in favor of We should legalize cannabis,"['Self-direction: action', 'Security: personal', 'Benevolence: caring', 'Universalism: nature']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
743,A18079,We should ban cosmetic surgery,in favor of,the long term effects of new procedures have not been studied enough to know if they are safe.,the long term effects of new procedures have not been studied enough to know if they are safe. in favor of We should ban cosmetic surgery,"['Security: personal', 'Benevolence: caring', 'Benevolence: dependability']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
4824,E01075,Devices with batteries should be designed so that batteries can be replaced,in favor of,"Having to replace an entire mobile phone (or tablet, camera, notebook, etc.) because a battery reached the end of its useful life is infuriating. It is not just a strain on consumers' wallets, it is also devastating for the environment, as the energy and resources going into manufacture of electronics is artificially increased through the short lifespans these devices have. ","Having to replace an entire mobile phone (or tablet, camera, notebook, etc.) because a battery reached the end of its useful life is infuriating. It is not just a strain on consumers' wallets, it is also devastating for the environment, as the energy and resources going into manufacture of electronics is artificially increased through the short lifespans these devices have.  in favor of Devices with batteries should be designed so that batteries can be replaced","['Security: personal', 'Universalism: nature']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2168,A22268,We should legalize cannabis,in favor of,we should legalize cannabis because it is harmless.,we should legalize cannabis because it is harmless. in favor of We should legalize cannabis,"['Self-direction: action', 'Hedonism', 'Humility']",0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6819,A30291,The vow of celibacy should be abandoned,in favor of,"the vow of celibacy is outdated, times have changed. it also begs to question whether the vow of celibacy is contributing to the frequent assaults plaguing the catholic church.","the vow of celibacy is outdated, times have changed. it also begs to question whether the vow of celibacy is contributing to the frequent assaults plaguing the catholic church. in favor of The vow of celibacy should be abandoned","['Humility', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1328,A19489,We should ban human cloning,against,we should not ban human cloning because it can help save lifes,we should not ban human cloning because it can help save lifes against We should ban human cloning,"['Self-direction: thought', 'Achievement', 'Security: personal', 'Benevolence: caring']",1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
3279,A25466,We should limit judicial activism,in favor of,sometimes the laws of the lands contradict a justified action.,sometimes the laws of the lands contradict a justified action. in favor of We should limit judicial activism,"['Power: dominance', 'Conformity: rules', 'Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
6255,A24406,Entrapment should be legalized,in favor of,it is a viable option to catch some criminals,it is a viable option to catch some criminals in favor of Entrapment should be legalized,"['Achievement', 'Security: societal']",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1835,A21271,We should ban the use of child actors,against,"child actors are supervised constantly, are well taken care of, and have tutors on set to keep them from falling back in school.","child actors are supervised constantly, are well taken care of, and have tutors on set to keep them from falling back in school. against We should ban the use of child actors","['Achievement', 'Security: personal', 'Benevolence: dependability']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
